商品名,重量,エネルギー[kcal],たんぱく質[g],脂質[g],炭水化物[g],ナトリウム[mg],カリウム[mg],カルシウム[mg],リン[mg],鉄[mg],ビタミンA[μg],ビタミンB1[mg],ビタミンB2[mg],ナイアシン[mg],ビタミンC[mg],ビタミンD[μg],ビタミンE[mg],コレステロール[mg],食物繊維[g],食塩相当量[g]
アイスティー　キャンディ茶葉Ｌ,350,4,0.4,0,0.4,4,28,4,7,0,0,0,0.04,0.4,0,0,0,0,0,0
100％オレンジジュースＳ,190,83,1.3,0,19.6,6,344,17,32,0.2,8,0,0,0.6,80,0,0.6,0,0.6,0
100％オレンジジュースＭ,280,123,2,0,28.8,9,507,25,48,0.3,11,0,0,0.8,118,0,0.8,0,0.8,0
100％オレンジジュースＬ,430,189,3,0,44.3,13,778,39,73,0.4,17,0,0,1.3,181,0,1.3,0,1.3,0
ペプシコーラＳ,190,87,0,0,21.7,4,0,4,27,0,0,0,0,0,0,0,0,0,0,0
ペプシコーラＭ,280,129,0,0,31.9,6,0,6,39,0,0,0,0,0,0,0,0,0,0,0
ペプシコーラＬ,430,198,0,0,49,9,0,9,60,0,0,0,0,0,0,0,0,0,0,0
ジンジャーエールＳ,190,74,0,0,18.6,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ジンジャーエールＭ,280,109,0,0,27.4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ジンジャーエールＬ,430,168,0,0,42.1,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0
メロンソーダ（無果汁）Ｓ,190,87,0,0,22,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0
メロンソーダ（無果汁）Ｍ,280,129,0,0,32.5,7,0,6,3,0,0,0,0,0,0,0,0,0,0,0
メロンソーダ（無果汁）Ｌ,430,198,0,0,49.9,11,0,9,4,0,0,0,0,0,0,0,0,0,0,0
アイスカフェラテＳ,140,69,3.4,3.8,5.1,41,176,111,96,0,38,0.04,0.15,0.4,1,0.3,0.1,12,0,0.1
アイスカフェラテＭ,210,109,5.4,6.1,8.1,67,273,177,153,0,61,0.06,0.25,0.6,2,0.5,0.2,19,0,0.2
アイスカフェオレＳ,130,48,2.4,2.6,3.8,28,140,73,61,0,25,0.03,0.11,0.6,1,0.2,0.1,8,0.1,0.1
アイスカフェオレＭ,220,81,4,4.3,6.4,47,237,123,104,0,42,0.04,0.18,1,1,0.3,0.1,13,0.2,0.1
ブレンドコーヒー,180,5,0.4,0.2,0.9,4,151,4,7,0.4,0,0,0,2.2,0,0,0,0,0.4,0
紅茶　キャンディ茶葉　　,180,2,0.2,0,0.2,2,14,2,4,0,0,0,0.02,0.2,0,0,0,0,0,0
カフェラテ　,160,72,3.6,4,5.4,44,194,117,102,0,40,0.04,0.17,0.5,1,0.3,0.1,13,0,0.1
カフェオレ,180,72,3.6,3.9,5.6,43,202,112,95,0,38,0.04,0.16,0.7,1,0.3,0.1,12,0.2,0.1
モスシェイク　バニラＳ,175,200,2.6,5.6,34.8,109,221,131,131,0,7,0.07,0.26,0.2,0,0,0.4,4,0,0.4
モスシェイク　バニラＭ,279,318,4.2,8.9,55.5,173,352,209,209,0,11,0.11,0.42,0.3,0,0,0.6,6,0,0.6
モスシェイク　ストロベリー（無果汁）Ｓ,184,186,2.4,5,33,117,199,118,118,0,6,0.06,0.24,0.2,0,0,0.3,3,0,0.4
モスシェイク　ストロベリー（無果汁）Ｍ,294,298,3.8,8.1,52.9,187,319,189,189,0,10,0.1,0.38,0.3,0,0,0.5,5,0,0.6
モスシェイク　コーヒーＳ,184,181,2.5,5,31.6,105,220,119,120,0,6,0.06,0.24,0.5,0,0,0.3,3,0,0.3
モスシェイク　コーヒーＭ,294,290,4,8.1,50.7,168,352,190,193,0,10,0.1,0.38,0.7,0,0,0.5,5,0,0.5
くだものと野菜（１２５ml紙パック）,129.8,52,0,0,13,39,161,10,17,0.3,279,0.03,0.01,0.4,43,0,0.4,0,0.3,0.09
モスシュガー,3,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ガムシロップ,8,22,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コーヒーフレッシュ,4.4,10,0.2,1,0.1,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ミネストローネ,180,50,1.4,1.1,8.8,589,234,20,31,0.4,58,0.05,0.04,0.5,20,0,0.7,0,2,1.4
コーンスープ（北海道産コーン使用）,180,146,3.1,6.5,18.7,486,220,40,90,0.4,22,0.07,0.11,1.1,5,0,0.4,7,1.8,1.3
クラムチャウダー,180,119,4.1,4.3,15.8,509,230,72,108,0.9,13,0.05,0.18,0.7,0,0.5,0.4,7,0.7,1.3
おしるこ（粒あん）,170,253,6.5,0.7,55.4,98,301,17,100,1.5,0,0.04,0.03,0.7,0,0,0,0,4,0.3
ひんやりドルチェ　なめらかショコラ　ハイカカオチョコレート使用,34,169,2.3,12.6,11.4,17,14,6,17,0.2,15,0.01,0.04,0,0,1,1.3,37,0,0
ひんやりドルチェ５個入りBOX　なめらかショコラ　ハイカカオチョコレート使用　,170,843,11.4,63.2,57.1,85,70,29,87,0.9,73,0.03,0.2,0,0,5.1,6.3,187,0,0.2
ひんやりドルチェ　ベイクドチーズ,34,126,2.1,8.2,10.9,61,23,19,31,0.1,58,0.02,0.07,0,0,0.1,0.4,44,0,0.2
ひんやりドルチェ５個入りBOX　ベイクドチーズ　,170,629,10.4,41,54.7,306,114,97,156,0.5,289,0.1,0.34,0.2,0,0.5,2.2,221,0.2,0.9
ポークサンド〈米粉〉　,98,239,6.9,9.7,31,509,135,7,67,0.3,3,0.23,0.08,1.5,1,0,0.7,20,1,1.4
　ポークサンド〈米粉〉　（ケチャップ含まず）,90,230,6.8,9.7,28.9,446,104,5,64,0.3,1,0.22,0.08,1.4,1,0,0.5,20,0.9,1.2
　パックケチャップ（減塩タイプ）,8,9,0.1,0,2.1,63,31,2,3,0,2,0.01,0,0.1,0,0,0.2,0,0.1,0.2
ポークロール〈米粉〉,88,237,4.8,10.7,30.3,519,98,5,71,0.2,3,0.16,0.06,0.2,14,0,0.6,15,0.9,1.3
　ポークロール〈米粉〉　（ケチャップ含まず）,80,228,4.7,10.7,28.2,456,67,3,68,0.2,1,0.15,0.06,0.1,14,0,0.4,15,0.8,1.1
　パックケチャップ（減塩タイプ）,8,9,0.1,0,2.1,63,31,2,3,0,2,0.01,0,0.1,0,0,0.2,0,0.1,0.2
